Category,1978,1979,diffs,percent 1978,percent 1979
Military spending,107.6,117.8,10.200000000000003,26.26953125,26.294642857142858
Social security,103.9,115.1,11.199999999999989,25.366210937500007,25.691964285714285
Health care,44.3,49.7,5.400000000000006,10.8154296875,11.093750000000002
Debt service,43.8,49.0,5.200000000000003,10.693359375,10.937500000000002
Welfare,43.7,44.9,1.1999999999999957,10.668945312500002,10.022321428571429
Education,27.5,30.4,2.8999999999999986,6.7138671875,6.7857142857142865
Energy,19.9,21.8,1.9000000000000021,4.8583984375,4.86607142857143
Veteran's benefits,18.9,19.3,0.40000000000000213,4.6142578125,4.308035714285715
